ID,Area,Operation,Audit Claim,Documentation Evidence,RSF Code Evidence,Classification,Recommended Action,Risk If Ignored,Suggested Test Coverage
LDOC-011,Endpoint,RetrieveFlightPlan,"Use retrieve endpoint with versioning support","WSDL documents retrieve with versionRequested/includeCodedMessages behavior","retrieveLeidosPlanMetadataByProviderPlanId uses FP/{providerPlanId}/retrieve and versionRequested=20240801",PASS,"Keep retrieve response parsing allowlisted", "Lifecycle evidence may be incomplete if version omitted","Retrieve parser tests"
LDOC-012,Coded Messages,Provider actions,"Request coded messages for structured errors","WSDL notes includeCodedMessages=true and newer versioned requests assume coded messages","buildLeidosActionPayload appends includeCodedMessages=true",PASS,"Preserve coded message parsing","Loss of actionable provider errors","Provider rejection fixture tests"
LDOC-013,FILE,FileFlightPlan,"Build ICAO FILE payload with required fields","WSDL FileFlightPlanRequest for vendor filing and validation catalog required field errors","buildLeidosActionPayload appends ICAO fields, departureInstant, flightDuration, fuelOnBoard, aircraft/pilot fields, route, otherInfo",PASS_WITH_DEFENSE,"Retain tests and privacy redaction; confirm webUserName","Provider rejection or missing required fields","Payload-build tests and validation catalog cases"
LDOC-014,AMEND,AmendFlightPlan,"Use latest versionStamp for AMEND","WSDL versioned actions require version/versionStamp behavior","stageAction retrieves missing versionStamp for amend/activate and blocks where required",PASS,"Keep newest versionStamp tests","Stale amendments rejected","VersionStamp regression tests"
LDOC-015,ACTIVATE,ActivateFlightPlan,"Activation time must be inside provider window and IFR activation is disallowed","Validation catalog WFP24 and WFP71; ActivateInvalidActivationTime","Lifecycle runner uses dynamic activation time; UI hides IFR Activate; validation gates VFR activation",PASS,"Keep dynamic lifecycle-time tests","Provider activation rejections","Live-lab timing tests and lifecycle button tests"
LDOC-016,CLOSE,CloseFlightPlan,"Terminal CLOSE may succeed without versionStamp","Observed provider behavior; WSDL response is returnStatus oriented","provider.ts logs terminal missing versionStamp as info and does not fail solely for absent versionStamp",PASS_WITH_DEFENSE,"Confirm terminal versionStamp behavior with Leidos","False failures after close","Terminal action tests"
LDOC-017,CANCEL,CancelFlightPlan,"Terminal CANCEL may succeed without versionStamp","Observed provider behavior; WSDL response is returnStatus oriented","provider.ts treats cancel as terminalAction and versionStampExpected=false",PASS_WITH_DEFENSE,"Confirm terminal versionStamp behavior with Leidos","False failures after cancel","Terminal action tests"
LDOC-018,Provider Outcome,All actions,"Ambiguous dispatched outcomes must not return plan to staged","Provider transport failure after dispatch cannot prove provider did not receive request","routes.ts records provider-outcome-unknown and blocks blind retry",PASS,"Preserve transactional action attempts","Duplicate FILE/AMEND or inconsistent local state","Timeout and retry tests"
LDOC-019,Idempotency,FILE/AMEND/ACTIVATE/CLOSE/CANCEL,"Provider action idempotency must be durable across instances","Operational safety requirement","migration 0114 adds provider action attempts; routes reserve and transition attempts transactionally",PASS,"Keep database-backed locking","Concurrent duplicate provider requests","Concurrent FILE/AMEND tests"
LDOC-020,Public Mutation Boundary,Flight plan create/PATCH,"Public clients must not set provider-owned fields","Provider lifecycle fields are internal integration state","routes.ts provider-owned public field rejector includes filingRaw, identifiers, status, snapshots, history",PASS,"Keep schema allowlist explicit","User could spoof provider state","Public create/PATCH rejection tests"
LDOC-021,Webhook Ack,WebServicePushFlightChange,"Acknowledge provider push with success true","WSDL push acknowledgement documents success response","LEIDOS_WEBHOOK_SUCCESS_RESPONSE is { success: 'true' }; route returns it for processed/duplicate/no-op paths",PASS,"Confirm string-vs-boolean with Leidos","Retry storm or failed provider acknowledgement","Webhook contract tests"
LDOC-022,Webhook Idempotency,WebServicePushFlightChange,"Duplicate provider events must not create duplicate transitions","Operational idempotency requirement","server/services/leidosWebhook.ts stable fingerprints; routes reserve duplicate events and ignore repeats",PASS_WITH_DEFENSE,"Keep fingerprint based on sanitized lifecycle-relevant content and provider IDs","Duplicate notifications/history","Duplicate webhook tests"
LDOC-023,Webhook Ordering,WebServicePushFlightChange,"Older events must not regress terminal state","Lifecycle integrity requirement","applyProviderWebhookOrderingGuard blocks lower versionStamp and terminal regression",PASS,"Keep ordering tests","Closed/cancelled plans could become proposed","Terminal regression tests"
LDOC-024,Provider Review,Webhook/Retrieve,"No-op provider events must not require user acceptance","Provider review should reflect meaningful provider change only","hasMeaningfulProviderChange and provider-effective-review ignore incomplete/no-op snapshots",PASS,"Keep review state tests","Users forced to accept empty changes","No-op webhook and retrieve tests"
LDOC-025,Route Integrity,RetrieveFlightPlan,"Missing providerRoute with routeChangedByProvider false is informational","Provider may not echo route after lifecycle operations","retrieve-compare logic classifies did-not-echo route separately from changed route",PASS,"Keep route integrity strict only for material changes","False round-trip failures","Case 9 route tests"
LDOC-026,Duplicate Flight,FILE,"Duplicate filed plans should be blocked locally before Leidos","Validation catalog includes Webservice.DuplicateFlight","Local duplicate-flight detection compares aircraft, rules, dep, dest, instant, route, altitude",PASS,"Keep admin/LAB override scoped","Provider duplicate rejection","Duplicate filing tests"
LDOC-027,Fuel Endurance,FILE/AMEND,"Fuel endurance must not be less than ETE","Validation catalog FuelEndurance.lessThanETE","Client/server compare filed ICAO endurance against route-derived ETE",PASS,"Keep single authoritative ETE source","Provider rejection; unsafe planning display","Fuel tests"
LDOC-028,Equipment/PBN,FILE/AMEND,"PBN/ requires equipment R and equipment R requires PBN/","Validation catalog AircraftEquipment.RMissing and OtherInfo.PbnMissing","ICAO validation blocks invalid otherInfo/equipment combinations",PASS,"Preserve Case 17/18 fixture separation","Provider rejection or invalid ICAO payload","PBN validation tests"
LDOC-029,ZZZZ,FILE/AMEND,"Non-ICAO ZZZZ DEP/DEST/ALTN handling must preserve required location data","ICAO Field 18 behavior; Leidos validation can require proper Other Info","RSF has zzzz tests and planning-reference timezone support",PASS_WITH_DEFENSE,"Confirm exact Leidos ZZZZ edge cases if production users require them","Rejected airport edge cases","ZZZZ tests"
LDOC-030,Timezones,FILE/AMEND/UI actions,"Departure local time must resolve using departure airport timezone","Provider departureInstant semantics require correct UTC instant","shared/flight-plan-time.ts and UI eligibility tests use canonical UTC/planning airport timezone",PASS,"Keep browser-timezone regression tests","Wrong DOF/ETD/action eligibility","KLAS/KPBI/KPHX/KEDC tests"
LDOC-031,Route Normalization,FILE/AMEND,"Provider Item 15 should remove endpoint airports narrowly without damaging valid tokens","ICAO Item 15 allows DCT and structured route tokens","Provider route normalization tests preserve DCT, airways, fixes, navaids, procedures, coordinates",PASS,"Keep planning geometry separate from provider route","Filed route or map geometry regression","Route normalization and geometry tests"
LDOC-032,LAB Safety,All live actions,"LAB provider use must be explicitly acknowledged and production filing disabled","Operational safety requirement","LAB gates check environment, live enable, acknowledgement, operational disabled flag",PASS,"Keep 24-hour acknowledgement and background sync suppression","Accidental provider or production filing","LAB gate tests"
LDOC-033,Production Safety,All live actions,"Do not enable production filing without explicit operational flag","Operational safety requirement","flight_filing_operational_enabled remains false unless env enables; routes block public production action",PASS,"Keep fail-closed env defaults","Unauthorized production submissions","Auth gate tests"
LDOC-034,Certification Runner,Live LAB,"Runner must support ranges/resume and avoid duplicate case signatures","Certification operational requirement","live-lab-runner supports start/end/only cases and duplicate-risk checks; package has core and extended scripts",PASS_WITH_DEFENSE,"Generate final evidence after FAIL remediation","Unnecessary provider submissions or duplicate flight rejection","Live-lab dry-run and fixture tests"
LDOC-035,Release Gate,Non-live tests,"Release gate should include adjacent flight-service tests and avoid live writes","Certification governance requirement","package.json test:flight-service:release runs check, flight-service tests, route/access/readiness/navaid/weather/tfms tests",PASS,"Keep live commands separate","False readiness signal","Release gate command"
OP-001,WSDL Inventory,AcknowledgeAlert,"Operation present in WSDL","WSDL operation inventory","Not implemented by RSF filing workflow",NOT_APPLICABLE,"Implement only if RSF exposes provider alert acknowledgement","None for current filing scope","N/A"
OP-002,WSDL Inventory,AcknowledgeMobileAnnouncement,"Operation present in WSDL","WSDL operation inventory","Not implemented by RSF filing workflow",NOT_APPLICABLE,"No action; mobile announcement workflow out of scope","None for current filing scope","N/A"
OP-003,WSDL Inventory,AmendPilotProfile,"Operation present in WSDL","WSDL operation inventory","RSF does not manage Leidos pilot profiles",NOT_APPLICABLE,"Do not implement unless RSF becomes a Leidos profile manager","Scope creep and PII risk","N/A"
OP-004,WSDL Inventory,AmendUasOperatingArea,"Operation present in WSDL","WSDL operation inventory","RSF Flight Service filing does not implement UAS operations",NOT_APPLICABLE,"No action for current scope","None for current filing scope","N/A"
OP-005,WSDL Inventory,ApplicationContext,"Operation present in WSDL","WSDL operation inventory","Not used by RSF filing workflow",NOT_APPLICABLE,"No action","None for current filing scope","N/A"
OP-006,WSDL Inventory,AreaBriefing,"Operation present in WSDL","WSDL operation inventory","RSF uses independent briefing/weather systems",NOT_APPLICABLE,"No action unless RSF chooses Leidos briefing integration","None for current filing scope","N/A"
OP-007,WSDL Inventory,CancelUasOperatingArea,"Operation present in WSDL","WSDL operation inventory","UAS operations out of scope",NOT_APPLICABLE,"No action","None for current filing scope","N/A"
OP-008,WSDL Inventory,ChangePassword,"Operation present in WSDL","WSDL operation inventory","RSF does not manage Leidos accounts",NOT_APPLICABLE,"No action","Account management scope creep","N/A"
OP-009,WSDL Inventory,ChangeUserName,"Operation present in WSDL","WSDL operation inventory","RSF does not manage Leidos accounts",NOT_APPLICABLE,"No action","Account management scope creep","N/A"
OP-010,WSDL Inventory,CreateAccount,"Operation present in WSDL","WSDL operation inventory","RSF does not create Leidos user accounts",NOT_APPLICABLE,"No action unless vendor onboarding changes","Account management scope creep","N/A"
OP-011,WSDL Inventory,CreateAccountWithExistingPilotProfileUsingEmail,"Operation present in WSDL","WSDL operation inventory","RSF does not create Leidos accounts",NOT_APPLICABLE,"No action","Account management scope creep","N/A"
OP-012,WSDL Inventory,CreateAccountWithExistingPilotProfileUsingPilotInfo,"Operation present in WSDL","WSDL operation inventory","RSF does not create Leidos accounts",NOT_APPLICABLE,"No action","PII/account scope creep","N/A"
OP-013,WSDL Inventory,CreatePilotProfile,"Operation present in WSDL","WSDL operation inventory","RSF keeps aircraft/pilot data locally and does not create Leidos profiles",NOT_APPLICABLE,"No action","PII/profile scope creep","N/A"
OP-014,WSDL Inventory,DeleteFavoriteFlightPlan,"Operation present in WSDL","WSDL operation inventory","Leidos favorites out of scope",NOT_APPLICABLE,"No action","None for current filing scope","N/A"
OP-015,WSDL Inventory,EvaluateDepartureTime,"Operation present in WSDL","WSDL operation inventory","RSF performs local time validation and provider action validation; not implemented as standalone service",NOT_APPLICABLE,"Consider later only if needed","Missed provider-specific advisory","N/A"
OP-016,WSDL Inventory,FileUasOperatingArea,"Operation present in WSDL","WSDL operation inventory","UAS operations out of scope",NOT_APPLICABLE,"No action","None for current filing scope","N/A"
OP-017,WSDL Inventory,FlightInfo,"Operation present in WSDL","WSDL operation inventory","Not used by current filing workflow",NOT_APPLICABLE,"No action","None for current filing scope","N/A"
OP-018,WSDL Inventory,LastMinuteCheck,"Operation present in WSDL","WSDL operation inventory","Not implemented as provider service; RSF has local readiness gates",NOT_APPLICABLE,"Consider later as advisory feature","Potential missed provider advisories","N/A"
OP-019,WSDL Inventory,LookupAircraftType,"Operation present in WSDL","WSDL operation inventory","RSF uses local aircraft library/validation",NOT_APPLICABLE,"No action unless provider type lookup needed","Aircraft lookup drift","N/A"
OP-020,WSDL Inventory,LookupNavAid,"Operation present in WSDL","WSDL operation inventory","RSF uses local aviation waypoint resolver",NOT_APPLICABLE,"No action unless provider lookup needed","Waypoint drift","N/A"
OP-021,WSDL Inventory,NavLog,"Operation present in WSDL","WSDL operation inventory","RSF computes route geometry/performance locally",NOT_APPLICABLE,"No action","None for provider filing scope","N/A"
OP-022,WSDL Inventory,OptimizeAltitude,"Operation present in WSDL","WSDL operation inventory","RSF altitude advisories are local",NOT_APPLICABLE,"No action unless provider optimization is desired","None for provider filing scope","N/A"
OP-023,WSDL Inventory,PilotHistoryCountQuery,"Operation present in WSDL","WSDL operation inventory","Not used by RSF filing flow",NOT_APPLICABLE,"No action","None for current filing scope","N/A"
OP-024,WSDL Inventory,PilotHistoryEvents,"Operation present in WSDL","WSDL operation inventory","Not used by RSF filing flow",NOT_APPLICABLE,"No action","None for current filing scope","N/A"
OP-025,WSDL Inventory,PilotHistoryRetrieveEvent,"Operation present in WSDL","WSDL operation inventory","Not used by RSF filing flow",NOT_APPLICABLE,"No action","None for current filing scope","N/A"
OP-026,WSDL Inventory,PublishNotification,"Operation present in WSDL","WSDL operation inventory","RSF handles inbound provider notifications; does not publish provider notifications",NOT_APPLICABLE,"No action","None for current filing scope","N/A"
OP-027,WSDL Inventory,ResetPassword,"Operation present in WSDL","WSDL operation inventory","RSF does not manage Leidos account credentials",NOT_APPLICABLE,"No action","Account management scope creep","N/A"
OP-028,WSDL Inventory,RetrieveAdvancedServices,"Operation present in WSDL","WSDL operation inventory","Leidos preferences/services out of scope",NOT_APPLICABLE,"No action","None for current filing scope","N/A"
OP-029,WSDL Inventory,RetrieveAFD,"Operation present in WSDL","WSDL operation inventory","RSF airport data/communications use separate data flow",NOT_APPLICABLE,"No action for filing compliance","Airport data drift","N/A"
OP-030,WSDL Inventory,RetrieveAircraftProfiles,"Operation present in WSDL","WSDL operation inventory","RSF aircraft profiles are local, not Leidos profiles",NOT_APPLICABLE,"No action","Profile sync scope creep","N/A"
OP-031,WSDL Inventory,RetrieveAlertByFlightId,"Operation present in WSDL","WSDL operation inventory","RSF currently receives provider push and retrieves flight plan metadata",NOT_APPLICABLE,"Consider later for alert reconciliation if Leidos recommends it","Missed alert reconciliation path","N/A"
OP-032,WSDL Inventory,RetrieveAlertByRoute,"Operation present in WSDL","WSDL operation inventory","Not used by current filing workflow",NOT_APPLICABLE,"No action","None for current filing scope","N/A"
OP-033,WSDL Inventory,RetrieveAlertNotices,"Operation present in WSDL","WSDL operation inventory","Not used by current filing workflow",NOT_APPLICABLE,"No action","None for current filing scope","N/A"
OP-034,WSDL Inventory,RetrieveFaaAirportId,"Operation present in WSDL","WSDL operation inventory","RSF uses local airport resolver",NOT_APPLICABLE,"No action unless provider lookup needed","Airport ID drift","N/A"
OP-035,WSDL Inventory,RetrieveFavoriteFlightPlans,"Operation present in WSDL","WSDL operation inventory","Leidos favorites out of scope",NOT_APPLICABLE,"No action","None for current filing scope","N/A"
OP-036,WSDL Inventory,RetrieveFlightPlanSummaries,"Operation present in WSDL","WSDL operation inventory","RSF syncs specific provider plan via RetrieveFlightPlan",NOT_APPLICABLE,"Consider only for broad account reconciliation if Leidos confirms webUserName flow","Cannot bulk reconcile by account","N/A"
OP-037,WSDL Inventory,RetrieveMETAR,"Operation present in WSDL","WSDL operation inventory","RSF weather is independent",NOT_APPLICABLE,"No action for filing compliance","Weather source differences","N/A"
OP-038,WSDL Inventory,RetrievePilotProfile,"Operation present in WSDL","WSDL operation inventory","RSF does not manage Leidos pilot profiles",NOT_APPLICABLE,"No action","PII/profile scope creep","N/A"
OP-039,WSDL Inventory,RetrievePreferences,"Operation present in WSDL","WSDL operation inventory","Leidos preferences out of scope",NOT_APPLICABLE,"No action","None for current filing scope","N/A"
OP-040,WSDL Inventory,RetrieveRecentFlightPlans,"Operation present in WSDL","WSDL operation inventory","RSF uses local stored plans and provider plan ID retrieve",NOT_APPLICABLE,"Consider only if account-level reconciliation required","Cannot discover all provider plans from Leidos account","N/A"
OP-041,WSDL Inventory,RetrieveSidsOrStars,"Operation present in WSDL","WSDL operation inventory","RSF route procedure support is local",NOT_APPLICABLE,"No action unless provider procedure lookup needed","Procedure data drift","N/A"
OP-042,WSDL Inventory,RetrieveTAF,"Operation present in WSDL","WSDL operation inventory","RSF weather is independent",NOT_APPLICABLE,"No action for filing compliance","Weather source differences","N/A"
OP-043,WSDL Inventory,RetrieveTemporaryFlightRestrictions,"Operation present in WSDL","WSDL operation inventory","RSF TFR system is independent and currently uses FAA/proxy/cache sources",NOT_APPLICABLE,"No action for Leidos filing compliance","TFR source degradation remains separate issue","N/A"
OP-044,WSDL Inventory,RetrieveUasOperatingArea,"Operation present in WSDL","WSDL operation inventory","UAS operations out of scope",NOT_APPLICABLE,"No action","None for current filing scope","N/A"
OP-045,WSDL Inventory,RetrieveUasOperatingAreaSummaries,"Operation present in WSDL","WSDL operation inventory","UAS operations out of scope",NOT_APPLICABLE,"No action","None for current filing scope","N/A"
OP-046,WSDL Inventory,RouteBriefing,"Operation present in WSDL","WSDL operation inventory","RSF briefing flow not based on Leidos RouteBriefing",NOT_APPLICABLE,"No action for filing compliance","None for provider filing scope","N/A"
OP-047,WSDL Inventory,SaveAdvancedServices,"Operation present in WSDL","WSDL operation inventory","Leidos preferences out of scope",NOT_APPLICABLE,"No action","None for current filing scope","N/A"
OP-048,WSDL Inventory,SaveAircraftProfiles,"Operation present in WSDL","WSDL operation inventory","RSF aircraft profiles are local",NOT_APPLICABLE,"No action","Profile sync scope creep","N/A"
OP-049,WSDL Inventory,SaveFavoriteFlightPlan,"Operation present in WSDL","WSDL operation inventory","Leidos favorites out of scope",NOT_APPLICABLE,"No action","None for current filing scope","N/A"
OP-050,WSDL Inventory,SavePreferences,"Operation present in WSDL","WSDL operation inventory","Leidos preferences out of scope",NOT_APPLICABLE,"No action","None for current filing scope","N/A"
OP-051,WSDL Inventory,SendTestMessage,"Operation present in WSDL","WSDL operation inventory","Not used by RSF filing workflow",NOT_APPLICABLE,"No action","None for current filing scope","N/A"
OP-052,WSDL Inventory,SubmitPirep,"Operation present in WSDL","WSDL operation inventory","PIREP submission out of RSF Flight Service filing scope",NOT_APPLICABLE,"No action","None for current filing scope","N/A"
OP-053,WSDL Inventory,SubmitPositionReport,"Operation present in WSDL","WSDL operation inventory","Position report submission out of scope",NOT_APPLICABLE,"No action","None for current filing scope","N/A"
OP-054,WSDL Inventory,ValidateOtherInfo,"Operation present in WSDL","WSDL operation inventory","RSF validates Other Info locally with catalog-aligned rules instead of provider precheck",PASS_WITH_DEFENSE,"Consider provider ValidateOtherInfo only if Leidos requires exact parity","Potential local/provider validation drift","OtherInfo catalog tests"
OP-055,WSDL Inventory,WebServicePushNGBAlert,"Operation present in WSDL","WSDL operation inventory","Not part of current Flight Service plan lifecycle scope",NOT_APPLICABLE,"No action unless NGB alerts are enabled","None for current filing scope","N/A"
OP-056,WSDL Inventory,WebServicePushUOAChange,"Operation present in WSDL","WSDL operation inventory","UAS push out of scope",NOT_APPLICABLE,"No action","None for current filing scope","N/A"
OP-057,WSDL Inventory,WebServicePushUOANotamSubmission,"Operation present in WSDL","WSDL operation inventory","UAS NOTAM push out of scope",NOT_APPLICABLE,"No action","None for current filing scope","N/A"
OP-058,WSDL Inventory,WebServicePushWxChange,"Operation present in WSDL","WSDL operation inventory","Weather push out of current filing lifecycle scope",NOT_APPLICABLE,"No action unless Leidos weather push is enabled","None for current filing scope","N/A"
OP-059,WSDL Inventory,WebsiteWeather,"Operation present in WSDL","WSDL operation inventory","RSF weather is independent",NOT_APPLICABLE,"No action for filing compliance","Weather source differences","N/A"
